,song_title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
26,Intro,Ms. Lauryn Hill,34QTgJPSf9Nvpw3NrlX8pu,0.373,0.349,7,-19.331,0,0.359,0.718,0.00183,0.382,0.566,93.073,audio_features,spotify:track:34QTgJPSf9Nvpw3NrlX8pu,https://api.spotify.com/v1/tracks/34QTgJPSf9Nvpw3NrlX8pu,https://api.spotify.com/v1/audio-analysis/34QTgJPSf9Nvpw3NrlX8pu,47293,4
27,Unchained Melody,Andy Williams,5npJRtGZoRax9ZaF3RkHeq,0.186,0.239,8,-11.63,1,0.0324,0.931,0.00195,0.112,0.147,84.642,audio_features,spotify:track:5npJRtGZoRax9ZaF3RkHeq,https://api.spotify.com/v1/tracks/5npJRtGZoRax9ZaF3RkHeq,https://api.spotify.com/v1/audio-analysis/5npJRtGZoRax9ZaF3RkHeq,194253,4
28,Fantasy - Live at the Tokyo Dome,Mariah Carey,2MuCLFbtlwUX26ajzNQnOU,0.583,0.928,4,-6.383,0,0.0767,0.073,2.21e-06,0.909,0.208,102.016,audio_features,spotify:track:2MuCLFbtlwUX26ajzNQnOU,https://api.spotify.com/v1/tracks/2MuCLFbtlwUX26ajzNQnOU,https://api.spotify.com/v1/audio-analysis/2MuCLFbtlwUX26ajzNQnOU,325373,4
29,"Affirmative Action (feat. AZ, Cormega & Foxy Brown)",Nas,4L4WTX2XNTtzAcyHQU9d0G,0.781,0.551,6,-9.287,1,0.333,0.483,0.0,0.157,0.708,86.844,audio_features,spotify:track:4L4WTX2XNTtzAcyHQU9d0G,https://api.spotify.com/v1/tracks/4L4WTX2XNTtzAcyHQU9d0G,https://api.spotify.com/v1/audio-analysis/4L4WTX2XNTtzAcyHQU9d0G,259760,4
30,You've Got a Friend - Acoustic version,Joanna Wang,0u9fY4rfyynBbIcS2xanLy,0.457,0.192,5,-11.689,1,0.0372,0.89,0.0,0.105,0.333,183.924,audio_features,spotify:track:0u9fY4rfyynBbIcS2xanLy,https://api.spotify.com/v1/tracks/0u9fY4rfyynBbIcS2xanLy,https://api.spotify.com/v1/audio-analysis/0u9fY4rfyynBbIcS2xanLy,260960,4
31,I Believe I Can Fly,R. Kelly,0x4duIqDqYwbLXNGa1AyRY,0.537,0.454,7,-6.888,1,0.0294,0.221,0.0,0.199,0.0535,120.104,audio_features,spotify:track:0x4duIqDqYwbLXNGa1AyRY,https://api.spotify.com/v1/tracks/0x4duIqDqYwbLXNGa1AyRY,https://api.spotify.com/v1/audio-analysis/0x4duIqDqYwbLXNGa1AyRY,320400,4
32,Kinky Reggae,Bob Marley & The Wailers,4y0mygDmFnEaAvWBRd3EMQ,0.817,0.703,7,-4.554,1,0.291,0.0194,0.0,0.0985,0.687,139.048,audio_features,spotify:track:4y0mygDmFnEaAvWBRd3EMQ,https://api.spotify.com/v1/tracks/4y0mygDmFnEaAvWBRd3EMQ,https://api.spotify.com/v1/audio-analysis/4y0mygDmFnEaAvWBRd3EMQ,233467,4
33,Mr. Intentional - Live,Ms. Lauryn Hill,2rM1uEwuDtoEl4kOyxiW1M,0.514,0.578,7,-7.792,0,0.234,0.683,0.0,0.0993,0.741,171.377,audio_features,spotify:track:2rM1uEwuDtoEl4kOyxiW1M,https://api.spotify.com/v1/tracks/2rM1uEwuDtoEl4kOyxiW1M,https://api.spotify.com/v1/audio-analysis/2rM1uEwuDtoEl4kOyxiW1M,433160,4
34,Mi Persona Favorita,Alejandro Sanz,28DnXjTaKItymVP1Bl9KIm,0.581,0.659,8,-7.511,1,0.116,0.538,0.0,0.0656,0.577,155.945,audio_features,spotify:track:28DnXjTaKItymVP1Bl9KIm,https://api.spotify.com/v1/tracks/28DnXjTaKItymVP1Bl9KIm,https://api.spotify.com/v1/audio-analysis/28DnXjTaKItymVP1Bl9KIm,239972,4
35,100 Yard Dash,Raphael Saadiq,3HiOludgUKJtniNCrGZfyG,0.896,0.874,1,-5.06,0,0.0391,0.427,0.0,0.0552,0.935,109.739,audio_features,spotify:track:3HiOludgUKJtniNCrGZfyG,https://api.spotify.com/v1/tracks/3HiOludgUKJtniNCrGZfyG,https://api.spotify.com/v1/audio-analysis/3HiOludgUKJtniNCrGZfyG,140427,4
36,No Scrubs,TLC,23r5J2ksBDTSJczEzGJe4s,0.748,0.72,8,-3.242,0,0.0814,0.0388,0.000259,0.0739,0.597,92.906,audio_features,spotify:track:23r5J2ksBDTSJczEzGJe4s,https://api.spotify.com/v1/tracks/23r5J2ksBDTSJczEzGJe4s,https://api.spotify.com/v1/audio-analysis/23r5J2ksBDTSJczEzGJe4s,213107,4
37,Reprise Poetry (Bonus),Kali Ranks,3q7wCfZPU53l3IHP4cXqKO,0.731,0.335,9,-11.435,0,0.113,0.229,0.00289,0.329,0.246,81.958,audio_features,spotify:track:3q7wCfZPU53l3IHP4cXqKO,https://api.spotify.com/v1/tracks/3q7wCfZPU53l3IHP4cXqKO,https://api.spotify.com/v1/audio-analysis/3q7wCfZPU53l3IHP4cXqKO,218332,4
38,Feel So Close - Radio Edit,Calvin Harris,5yxsF7WAJLWbsIa9fCvKV2,0.703,0.886,7,-5.004,1,0.0311,0.000828,0.00541,0.185,0.927,127.955,audio_features,spotify:track:5yxsF7WAJLWbsIa9fCvKV2,https://api.spotify.com/v1/tracks/5yxsF7WAJLWbsIa9fCvKV2,https://api.spotify.com/v1/audio-analysis/5yxsF7WAJLWbsIa9fCvKV2,206040,4
39,Feel So Close - Radio Edit,Calvin Harris,5yxsF7WAJLWbsIa9fCvKV2,0.703,0.886,7,-5.004,1,0.0311,0.000828,0.00541,0.185,0.927,127.955,audio_features,spotify:track:5yxsF7WAJLWbsIa9fCvKV2,https://api.spotify.com/v1/tracks/5yxsF7WAJLWbsIa9fCvKV2,https://api.spotify.com/v1/audio-analysis/5yxsF7WAJLWbsIa9fCvKV2,206040,4
40,Feel So Close - Radio Edit,Calvin Harris,5yxsF7WAJLWbsIa9fCvKV2,0.703,0.886,7,-5.004,1,0.0311,0.000828,0.00541,0.185,0.927,127.955,audio_features,spotify:track:5yxsF7WAJLWbsIa9fCvKV2,https://api.spotify.com/v1/tracks/5yxsF7WAJLWbsIa9fCvKV2,https://api.spotify.com/v1/audio-analysis/5yxsF7WAJLWbsIa9fCvKV2,206040,4
41,Feel So Close - Radio Edit,Calvin Harris,5yxsF7WAJLWbsIa9fCvKV2,0.703,0.886,7,-5.004,1,0.0311,0.000828,0.00541,0.185,0.927,127.955,audio_features,spotify:track:5yxsF7WAJLWbsIa9fCvKV2,https://api.spotify.com/v1/tracks/5yxsF7WAJLWbsIa9fCvKV2,https://api.spotify.com/v1/audio-analysis/5yxsF7WAJLWbsIa9fCvKV2,206040,4
