,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
280,0.626,0.799,11,-6.612,0,0.046,0.000358,0.00155,0.36,0.369,98.992,audio_features,0iOu4s8w3pE9vbpb1SHXsL,spotify:track:0iOu4s8w3pE9vbpb1SHXsL,https://api.spotify.com/v1/tracks/0iOu4s8w3pE9vbpb1SHXsL,https://api.spotify.com/v1/audio-analysis/0iOu4s8w3pE9vbpb1SHXsL,274213,4
281,0.825,0.832,5,-5.853,0,0.0403,0.00587,0.000789,0.114,0.713,122.021,audio_features,6nCDnzErqalOaIY3EJM8NK,spotify:track:6nCDnzErqalOaIY3EJM8NK,https://api.spotify.com/v1/tracks/6nCDnzErqalOaIY3EJM8NK,https://api.spotify.com/v1/audio-analysis/6nCDnzErqalOaIY3EJM8NK,220627,4
282,0.596,0.767,8,-8.96,1,0.146,0.00255,0.0267,0.437,0.566,155.881,audio_features,6M9A67YCLVkJ0WxMBbp4Ov,spotify:track:6M9A67YCLVkJ0WxMBbp4Ov,https://api.spotify.com/v1/tracks/6M9A67YCLVkJ0WxMBbp4Ov,https://api.spotify.com/v1/audio-analysis/6M9A67YCLVkJ0WxMBbp4Ov,215173,4
283,0.896,0.452,6,-5.637,1,0.258,0.0171,0.00782,0.0645,0.644,99.905,audio_features,5Gq7IN29DbgUO8Ris1TZKl,spotify:track:5Gq7IN29DbgUO8Ris1TZKl,https://api.spotify.com/v1/tracks/5Gq7IN29DbgUO8Ris1TZKl,https://api.spotify.com/v1/audio-analysis/5Gq7IN29DbgUO8Ris1TZKl,238600,4
284,0.277,0.663,4,-8.821,0,0.0377,0.000409,0.00051,0.136,0.527,104.561,audio_features,20I8RduZC2PWMWTDCZuuAN,spotify:track:20I8RduZC2PWMWTDCZuuAN,https://api.spotify.com/v1/tracks/20I8RduZC2PWMWTDCZuuAN,https://api.spotify.com/v1/audio-analysis/20I8RduZC2PWMWTDCZuuAN,237027,4
285,0.471,0.416,2,-6.29,1,0.0269,0.916,0.0655,0.127,0.116,89.405,audio_features,5YOIpoN13xhvFc41mI1Bgc,spotify:track:5YOIpoN13xhvFc41mI1Bgc,https://api.spotify.com/v1/tracks/5YOIpoN13xhvFc41mI1Bgc,https://api.spotify.com/v1/audio-analysis/5YOIpoN13xhvFc41mI1Bgc,199549,4
286,0.494,0.672,3,-4.877,1,0.0405,0.0273,0.0,0.105,0.557,156.208,audio_features,4j3X4KX8rURekAVIFUhI23,spotify:track:4j3X4KX8rURekAVIFUhI23,https://api.spotify.com/v1/tracks/4j3X4KX8rURekAVIFUhI23,https://api.spotify.com/v1/audio-analysis/4j3X4KX8rURekAVIFUhI23,277027,4
287,0.494,0.939,1,-3.127,1,0.126,0.00666,0.0,0.139,0.893,177.751,audio_features,0BRHnOFm6sjxN1i9LJrUDu,spotify:track:0BRHnOFm6sjxN1i9LJrUDu,https://api.spotify.com/v1/tracks/0BRHnOFm6sjxN1i9LJrUDu,https://api.spotify.com/v1/audio-analysis/0BRHnOFm6sjxN1i9LJrUDu,175093,4
288,0.663,0.72,3,-5.497,1,0.0331,0.00212,0.0,0.358,0.608,135.342,audio_features,65mxB9IWpmVo4qUjdGSxRB,spotify:track:65mxB9IWpmVo4qUjdGSxRB,https://api.spotify.com/v1/tracks/65mxB9IWpmVo4qUjdGSxRB,https://api.spotify.com/v1/audio-analysis/65mxB9IWpmVo4qUjdGSxRB,183493,4
289,0.588,0.877,8,-4.78,1,0.16,0.00952,0.0,0.171,0.645,155.165,audio_features,0JmGVy7IzUM27My3UuEOOZ,spotify:track:0JmGVy7IzUM27My3UuEOOZ,https://api.spotify.com/v1/tracks/0JmGVy7IzUM27My3UuEOOZ,https://api.spotify.com/v1/audio-analysis/0JmGVy7IzUM27My3UuEOOZ,326187,4
290,0.704,0.793,8,-2.266,1,0.0591,0.0488,0.0,0.575,0.412,127.96,audio_features,6F6TsdD0ijquDSjcr9lgIt,spotify:track:6F6TsdD0ijquDSjcr9lgIt,https://api.spotify.com/v1/tracks/6F6TsdD0ijquDSjcr9lgIt,https://api.spotify.com/v1/audio-analysis/6F6TsdD0ijquDSjcr9lgIt,199680,4
291,0.691,0.853,1,-2.528,0,0.0372,0.0631,7.13e-05,0.082,0.762,145.999,audio_features,6eDApnV9Jdb1nYahOlbbUh,spotify:track:6eDApnV9Jdb1nYahOlbbUh,https://api.spotify.com/v1/tracks/6eDApnV9Jdb1nYahOlbbUh,https://api.spotify.com/v1/audio-analysis/6eDApnV9Jdb1nYahOlbbUh,215867,4
292,0.606,0.883,3,-3.243,1,0.0423,0.00872,0.0,0.0698,0.608,128.053,audio_features,5pmL3RzOy3IvGFaSDi4hZL,spotify:track:5pmL3RzOy3IvGFaSDi4hZL,https://api.spotify.com/v1/tracks/5pmL3RzOy3IvGFaSDi4hZL,https://api.spotify.com/v1/audio-analysis/5pmL3RzOy3IvGFaSDi4hZL,244907,4
293,0.647,0.807,8,-3.802,1,0.0317,0.0659,0.0049,0.237,0.696,126.88,audio_features,2TLU9crGyk56PhgQTWuTvt,spotify:track:2TLU9crGyk56PhgQTWuTvt,https://api.spotify.com/v1/tracks/2TLU9crGyk56PhgQTWuTvt,https://api.spotify.com/v1/audio-analysis/2TLU9crGyk56PhgQTWuTvt,182280,4
294,0.531,0.683,1,-4.093,0,0.333,0.135,0.00265,0.22,0.212,84.817,audio_features,3UrNOHCzVxX2KZbNcKQAyu,spotify:track:3UrNOHCzVxX2KZbNcKQAyu,https://api.spotify.com/v1/tracks/3UrNOHCzVxX2KZbNcKQAyu,https://api.spotify.com/v1/audio-analysis/3UrNOHCzVxX2KZbNcKQAyu,218747,4
295,0.728,0.858,9,-3.686,1,0.0609,0.0403,4.26e-06,0.0241,0.591,125.054,audio_features,5lGvoadO0urY0Ew8kYUc05,spotify:track:5lGvoadO0urY0Ew8kYUc05,https://api.spotify.com/v1/tracks/5lGvoadO0urY0Ew8kYUc05,https://api.spotify.com/v1/audio-analysis/5lGvoadO0urY0Ew8kYUc05,205640,4
296,0.879,0.83,7,-5.941,1,0.275,0.0289,0.131,0.204,0.719,100.014,audio_features,7nwnOXF8L52va1CKRPg1d4,spotify:track:7nwnOXF8L52va1CKRPg1d4,https://api.spotify.com/v1/tracks/7nwnOXF8L52va1CKRPg1d4,https://api.spotify.com/v1/audio-analysis/7nwnOXF8L52va1CKRPg1d4,196893,4
